,ANESTESISTA,PROCEDIMENTO,DURACAO_ANESTESIA
40,Andrew Rose,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DA TÍBIA,35.0
41,Andrew Rose,TRATAMENTO CIRÚRGICO DE FRATURA DO ACETÁBULO,37.0
42,Andrew Rose,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,45.0
43,Cassandra Brown,ARTROPLASTIA PARCIAL DE QUADRIL,35.0
44,Cassandra Brown,ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NÃO CIMENTADA / HÍBRIDA,46.666666666666664
45,Cassandra Brown,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,50.0
46,Cassandra Brown,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DOS METACARPIANOS,40.0
47,Cassandra Brown,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO TARSO-METATARSICA,60.35
48,Cassandra Brown,TRATAMENTO CIRÚRGICO P/ CENTRALIZAÇÃO DO PUNHO,60.0
49,Daniel Burgess,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DA TÍBIA,2.0
50,Daniel Burgess,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR,30.0
51,Daniel Burgess,TRATAMENTO CIRÚRGICO DE FRATURA-LUXAÇÃO DA ARTICULAÇÃO COXOFEMORAL (DUPLO ACESSO),59.46666666666667
52,Daniel Burgess,TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR DO MEMBRO SUPERIOR: COTOVELO / PUNHO,38.0
53,Douglas Crawford,ARTROPLASTIA PARCIAL DE QUADRIL,40.0
54,Douglas Crawford,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DA TÍBIA,50.0
55,Douglas Crawford,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR,40.0
56,Douglas Crawford,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA,65.5
57,Douglas Crawford,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,25.0
58,Jerry Henry,TENOMIORRAFIA,0.0
59,Jerry Henry,TRATAMENTO CIRÚRGICO DE FRATURA DO ACETÁBULO,31.0
60,Jessica Medina,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,25.0
61,Jessica Medina,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA,35.0
62,Jessica Medina,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,5.0
63,Jessica Medina,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METACARPO-FALANGIANA,32.68333333333333
64,Jordan Gaines,ARTROPLASTIA DE REVISÃO OU RECONSTRUÇÃO DO QUADRIL,24.65
65,Jordan Gaines,ARTROPLASTIA PARCIAL DE QUADRIL,20.1
66,Jordan Gaines,ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NÃO CIMENTADA / HÍBRIDA,60.833333333333336
67,Jordan Gaines,ARTROPLASTIA TOTAL PRIMÁRIA DO QUADRIL CIMENTADA,37.0
68,Jordan Gaines,BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,18.08333333333333
69,Jordan Gaines,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,60.0
70,Jordan Gaines,EXCISAO DE LESAO E/OU SUTURA DE FERIMENTO DA PELE ANEXOS E MUCOSA,8.0
71,Jordan Gaines,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE),45.333333333333336
72,Jordan Gaines,TRATAMENTO CIRÚGICO DE FRATURA DA DIÁFISE DO ÚMERO,0.9833333333333332
73,Jordan Gaines,TRATAMENTO CIRÚRGICO DE ASSOCIAÇÃO FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO,3.0
74,Jordan Gaines,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),50.0
75,Jordan Gaines,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DA TÍBIA,75.0
76,Jordan Gaines,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR,55.0
77,Jordan Gaines,TRATAMENTO CIRÚRGICO DE FRATURA DA EXTREMIDADE / METÁFISE DISTAL DOS OSSOS DO ANTEBRAÇO,82.0
78,Jordan Gaines,TRATAMENTO CIRÚRGICO DE FRATURA SUBTROCANTERIANA,52.541666666666664
79,Jordan Gaines,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,38.98833333333333
80,Jordan Gaines,TRATAMENTO CIRÚRGICO DE INFECÇÃO PÓS-ARTROPLASTIA (GRANDES ARTICULAÇÕES),40.0
81,Jordan Gaines,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METACARPO-FALANGIANA,43.0
82,Kimberly Solis,TENORRAFIA ÚNICA EM TÚNEL OSTEO-FIBROSO,45.0
83,Kimberly Solis,TRATAMENTO CIRÚRGICO DE FRATURA DO ACETÁBULO,50.0
84,Kimberly Solis,TRATAMENTO CIRÚRGICO DE FRATURA DO PILÃO TIBIAL,30.0
85,Kimberly Solis,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METACARPO-FALANGIANA,35.0
86,Kristine Greene,ARTROPLASTIA DE REVISÃO OU RECONSTRUÇÃO DO QUADRIL,27.5
87,Kristine Greene,ARTROPLASTIA PARCIAL DE QUADRIL,44.23888888888889
88,Kristine Greene,ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NÃO CIMENTADA / HÍBRIDA,42.095370370370375
89,Kristine Greene,BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO),30.48333333333333
90,Kristine Greene,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,56.75
91,Kristine Greene,RETIRADA DE PLACA E/OU PARAFUSOS,75.0
92,Kristine Greene,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE),155.0
93,Kristine Greene,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),37.641666666666666
94,Kristine Greene,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,52.25833333333333
95,Kristine Greene,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR,44.291666666666664
96,Kristine Greene,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA,55.0
97,Kristine Greene,TRATAMENTO CIRÚRGICO DE FRATURA DO TORNOZELO UNIMALEOLAR,54.36666666666667
98,Kristine Greene,TRATAMENTO CIRÚRGICO DE FRATURA SUBTROCANTERIANA,39.0
99,Kristine Greene,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,53.11916666666666
100,Krystal Contreras,ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NÃO CIMENTADA / HÍBRIDA,80.0
101,Krystal Contreras,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,44.0
102,Krystal Contreras,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),28.0
103,Krystal Contreras,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,69.31666666666666
104,Krystal Contreras,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR,25.0
105,Krystal Contreras,TRATAMENTO CIRÚRGICO DE FRATURA DA PATELA POR FIXAÇÃO INTERNA,33.0
106,Krystal Contreras,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,25.0
107,Krystal Contreras,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METACARPO-FALANGIANA,10.0
108,Mark Little,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO,28.0
109,Mark Little,ARTROPLASTIA DE REVISÃO OU RECONSTRUÇÃO DO QUADRIL,59.120000000000005
110,Mark Little,ARTROPLASTIA PARCIAL DE QUADRIL,508.3333333333333
111,Mark Little,ARTROPLASTIA TOTAL DE CONVERSÃO DO QUADRIL,1423.0
112,Mark Little,ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NÃO CIMENTADA / HÍBRIDA,35.785714285714285
113,Mark Little,ARTROPLASTIA TOTAL PRIMÁRIA DO QUADRIL CIMENTADA,15.0
114,Mark Little,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,17.833333333333332
115,Mark Little,RETIRADA DE PLACA E/OU PARAFUSOS,35.5
116,Mark Little,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE),55.5
117,Mark Little,TRATAMENTO CIRÚRGICO DE ASSOCIAÇÃO FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO,40.0
118,Mark Little,TRATAMENTO CIRÚRGICO DE FRATURA DO ACETÁBULO,46.25
119,Mark Little,TRATAMENTO CIRÚRGICO DE FRATURA DO PILÃO TIBIAL,20.0
120,Mark Little,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,46.111111111111114
121,Mark Little,TRATAMENTO CIRÚRGICO DE INFECÇÃO PÓS-ARTROPLASTIA (GRANDES ARTICULAÇÕES),55.86666666666667
122,Megan Gonzalez,ARTROPLASTIA PARCIAL DE QUADRIL,35.0
123,Megan Gonzalez,TRATAMENTO CIRURGICO DE LUXACAO ESPONTANEA / PROGRESSIVA / PARALITICA DO QUADRIL,43.0
124,Megan Gonzalez,TRATAMENTO CIRÚRGICO DE ASSOCIAÇÃO FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO,60.0
125,Megan Gonzalez,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),65.0
126,Megan Gonzalez,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA,45.0
127,Megan Gonzalez,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,10.6
128,Megan Gonzalez,TRATAMENTO CIRÚRGICO DE LUXAÇÃO OU FRATURA-LUXAÇÃO DO COTOVELO,34.68333333333333
129,Melinda Hill,ARTROPLASTIA PARCIAL DE QUADRIL,47.5
130,Melinda Hill,ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NÃO CIMENTADA / HÍBRIDA,42.5
131,Melinda Hill,RETIRADA DE CORPO ESTRANHO SUBCUTANEO,21.0
132,Melinda Hill,TENOMIORRAFIA,65.0
133,Melinda Hill,TRATAMENTO CIRÚRGICO DE ASSOCIAÇÃO FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO,45.36666666666666
134,Melinda Hill,TRATAMENTO CIRÚRGICO DE DEDO EM MARTELO / EM GARRA (MÃO E PÉ),58.0
135,Melinda Hill,TRATAMENTO CIRÚRGICO DE FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO ANTERO-POSTERIOR,40.0
136,Melinda Hill,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR,68.33333333333333
137,Melinda Hill,TRATAMENTO CIRÚRGICO DE FRATURA DO ACETÁBULO,20.0
138,Melinda Hill,TRATAMENTO CIRÚRGICO DE FRATURA SUBTROCANTERIANA,20.0
139,Melinda Hill,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,56.68055555555555
140,Melinda Hill,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METATARSO INTER-FALANGEANA,35.0
141,Nicholas Raymond,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,37.0
142,Phillip Hall,ARTROPLASTIA DE REVISÃO OU RECONSTRUÇÃO DO QUADRIL,45.0
143,Roberta Bartlett,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,71.0
144,Robin Shaw,TRATAMENTO CIRÚRGICO DE ASSOCIAÇÃO FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO,40.0
145,Robin Shaw,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),20.0
146,Robin Shaw,TRATAMENTO CIRÚRGICO DE FRATURA DO ACETÁBULO,100.08333333333331
147,Robin Shaw,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,84.63333333333334
148,Robin Shaw,TRATAMENTO CIRÚRGICO DE POLIDACTILIA ARTICULADA,30.0
149,Ronald Moon,ARTROPLASTIA DE REVISÃO OU RECONSTRUÇÃO DO QUADRIL,46.77916666666667
150,Ronald Moon,ARTROPLASTIA PARCIAL DE QUADRIL,65.0
151,Ronald Moon,ARTROPLASTIA TOTAL DE CONVERSÃO DO QUADRIL,52.4
152,Ronald Moon,ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NÃO CIMENTADA / HÍBRIDA,51.82222222222222
153,Ronald Moon,PRÓTESE EXOESQUELÉTICA TRANSFEMURAL,30.0
154,Ronald Moon,TRATAMENTO CIRÚRGICO DE ASSOCIAÇÃO FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO,105.475
155,Ronald Moon,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR,30.0
156,Ronald Moon,TRATAMENTO CIRÚRGICO DE FRATURA DO ACETÁBULO,42.5
157,Ronald Moon,TRATAMENTO CIRÚRGICO DE FRATURA SUBTROCANTERIANA,27.5
158,Ronald Moon,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,47.666666666666664
159,Sarah Brown,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO,5.0
160,Sarah Brown,ARTROPLASTIA DE QUADRIL (NÃO CONVENCIONAL),21.5
161,Sarah Brown,ARTROPLASTIA DE RESSECÇÃO DE MÉDIA / GRANDE ARTICULAÇÃO,35.0
162,Sarah Brown,ARTROPLASTIA DE REVISÃO OU RECONSTRUÇÃO DO QUADRIL,47.93981481481481
163,Sarah Brown,ARTROPLASTIA PARCIAL DE QUADRIL,43.03760683760684
164,Sarah Brown,ARTROPLASTIA TOTAL DE CONVERSÃO DO QUADRIL,61.90333333333333
165,Sarah Brown,ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NÃO CIMENTADA / HÍBRIDA,43.21684027777778
166,Sarah Brown,ARTROPLASTIA TOTAL PRIMÁRIA DO QUADRIL CIMENTADA,31.40833333333333
167,Sarah Brown,CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO,34.45833333333333
168,Sarah Brown,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,41.33819444444445
169,Sarah Brown,DEBRIDAMENTO DE ULCERA / NECROSE,34.50833333333333
170,Sarah Brown,DRENAGEM DE ABSCESSO,30.0
171,Sarah Brown,NEUROLISE NAO FUNCIONAL DE NERVOS PERIFERICOS,48.5
172,Sarah Brown,PROSTATOVESICULECTOMIA RADICAL,46.46666666666667
173,Sarah Brown,REDUCAO INCRUENTA DE FRATURA DIAFISARIA / LESAO FISARIA DISTAL DA TIBIA C/ OU S/ FRATURA DA FIBULA,70.0
174,Sarah Brown,REDUCAO INCRUENTA DE FRATURA OU LESAO FISARIA DO JOELHO,30.0
175,Sarah Brown,REDUÇÃO INCRUENTA C/ MANIPULAÇÃO DE LUXAÇÃO ESPONTANEA / PROGRESSIVA DO QUADRIL COM APLICAÇÃO DE DISPOSITIVOS DE CONTENÇÃO,15.0
176,Sarah Brown,REDUÇÃO INCRUENTA DE FRATURA / LESÃO FISARIA NO PUNHO,35.0
177,Sarah Brown,REDUÇÃO INCRUENTA DE FRATURA DA DIÁFISE DO ÚMERO,35.0
178,Sarah Brown,REDUÇÃO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXACAO NO PUNHO,40.0
179,Sarah Brown,RETIRADA DE ESPAÇADORES / OUTROS MATERIAIS,46.21666666666667
180,Sarah Brown,RETIRADA DE FIO OU PINO INTRA-ÓSSEO,48.980000000000004
181,Sarah Brown,RETIRADA DE FIXADOR EXTERNO,69.71428571428571
182,Sarah Brown,RETIRADA DE PLACA E/OU PARAFUSOS,44.81904761904762
183,Sarah Brown,RETIRADA DE TRAÇÃO TRANS-ESQUELÉTICA,59.833333333333336
184,Sarah Brown,TENOMIORRAFIA,37.0
185,Sarah Brown,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS METATARSIANOS,63.0
186,Sarah Brown,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE),38.02564102564103
187,Sarah Brown,TRATAMENTO CIRURGICO DE LUXACAO COXO-FEMORAL TRAUMATICA / POS-ARTROPLASTIA,35.0
188,Sarah Brown,TRATAMENTO CIRÚRGICO DE ARTRITE INFECCIOSA (GRANDES E MÉDIAS ARTICULAÇÕES),37.63333333333333
189,Sarah Brown,TRATAMENTO CIRÚRGICO DE ASSOCIAÇÃO FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO,38.263888888888886
190,Sarah Brown,TRATAMENTO CIRÚRGICO DE DEDO EM MARTELO / EM GARRA (MÃO E PÉ),42.0
191,Sarah Brown,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),45.84166666666667
192,Sarah Brown,TRATAMENTO CIRÚRGICO DE FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO ANTERO-POSTERIOR,42.333333333333336
193,Sarah Brown,TRATAMENTO CIRÚRGICO DE FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO DO COCCIX,50.0
194,Sarah Brown,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,67.33333333333334
195,Sarah Brown,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DA TÍBIA,42.5
196,Sarah Brown,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR,48.75
197,Sarah Brown,TRATAMENTO CIRÚRGICO DE FRATURA DA EXTREMIDADE / METÁFISE DISTAL DOS OSSOS DO ANTEBRAÇO,49.61458333333333
198,Sarah Brown,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA DE AMBOS OS OSSOS DO ANTEBRAÇO (C/ SINTESE),38.5
199,Sarah Brown,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA,25.416666666666668
200,Sarah Brown,TRATAMENTO CIRÚRGICO DE FRATURA DO ACETÁBULO,41.6625
201,Sarah Brown,TRATAMENTO CIRÚRGICO DE FRATURA DO SACRO,42.0
202,Sarah Brown,TRATAMENTO CIRÚRGICO DE FRATURA DO TORNOZELO UNIMALEOLAR,35.0
203,Sarah Brown,TRATAMENTO CIRÚRGICO DE FRATURA INTERCONDILEANA / DOS CÔNDILOS DO FÊMUR,32.5
204,Sarah Brown,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISARIA DOS OSSOS DO ANTEBRAÇO,50.0
205,Sarah Brown,TRATAMENTO CIRÚRGICO DE FRATURA SUBTROCANTERIANA,45.50185185185185
206,Sarah Brown,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,52.64501312335958
207,Sarah Brown,TRATAMENTO CIRÚRGICO DE INFECÇÃO PÓS-ARTROPLASTIA (GRANDES ARTICULAÇÕES),52.0
208,Sarah Brown,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO AO NÍVEL DO JOELHO,40.0
209,Sarah Brown,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO CARPO-METACARPIANA,65.0
210,Sarah Brown,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METACARPO-FALANGIANA,40.19444444444444
211,Sarah Brown,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO TARSO-METATARSICA,30.0
212,Sarah Brown,TRATAMENTO CIRÚRGICO DE LUXAÇÃO OU FRATURA-LUXAÇÃO DO COTOVELO,40.0
213,Sarah Brown,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DA DIÁFISE DO FÊMUR,45.0
214,Sarah Brown,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DA REGIÃO TROCANTERIANA,43.0
215,Sarah Brown,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DO COLO DO FÊMUR,35.0
216,Sarah Brown,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE NA REGIÃO METAFISE-EPIFISÁRIA DISTAL DO RÁDIO E ULNA,45.0
217,Sarah Brown,TRATAMENTO CONSERVADOR DE FRATURA / LESAO LIGAMENTAR / ARRANCAMENTO OSSEO AO NIVEL DA PELVE,72.0
218,Sarah Rich,ARTROPLASTIA PARCIAL DE QUADRIL,100.0
219,Sarah Rich,ARTROPLASTIA TOTAL DE CONVERSÃO DO QUADRIL,30.0
220,Sarah Rich,ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NÃO CIMENTADA / HÍBRIDA,50.0
221,Sarah Rich,ARTROPLASTIA TOTAL PRIMÁRIA DO QUADRIL CIMENTADA,35.0
222,Sarah Rich,REDUÇÃO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXACAO NO PUNHO,40.0
223,Sarah Rich,RETIRADA DE PLACA E/OU PARAFUSOS,50.0
