,ANESTESISTA,PROCEDIMENTO,DURACAO_ANESTESIA
21,Alex Allen,TRATAMENTO CIRÚRGICO DE ROTURA DO MENISCO COM MENISCECTOMIA PARCIAL / TOTAL,40.45
22,Alex Allen,TRATAMENTO CIRÚRGICO P/ CENTRALIZAÇÃO DO PUNHO,30.0
23,Amanda Elliott,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE),5.0
24,Amanda Elliott,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DA TÍBIA,25.0
25,Amy Dunn,ARTROPLASTIA TOTAL PRIMARIA DO JOELHO,54.86666666666667
26,Amy Dunn,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,27.5
27,Amy Dunn,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DOS METACARPIANOS,0.1166666666666666
28,Amy Dunn,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR,14.4
29,Amy Dunn,TRATAMENTO CIRÚRGICO DE FRATURA DA EXTREMIDADE / METÁFISE DISTAL DOS OSSOS DO ANTEBRAÇO,30.0
30,Amy Dunn,TRATAMENTO CIRÚRGICO DE FRATURA DO PLANALTO TIBIAL,40.0
31,Amy Dunn,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISÁRIA DISTAL DE TÍBIA,5.0
32,Amy Dunn,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METACARPO-FALANGIANA,28.0
33,Amy Dunn,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE NA REGIÃO METAFISE-EPIFISÁRIA DISTAL DO RÁDIO E ULNA,80.0
34,Ana Brown,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO,15.0
35,Ana Brown,CORREÇÃO DE TUBEROSIDADE DO MAXILAR,29.0
36,Ana Brown,CURATIVO GRAU I COM OU SEM DEBRIDAMENTO,25.0
37,Ana Brown,CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO,45.0
38,Ana Brown,DEBRIDAMENTO DE FASCEITE NECROTIZANTE,36.833333333333336
39,Ana Brown,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,31.05128205128205
40,Ana Brown,DEBRIDAMENTO DE ULCERA / NECROSE,14.0
41,Ana Brown,DRENAGEM DE ABSCESSO,15.0
42,Ana Brown,EXCISÃO E/OU SUTURA SIMPLES DE PEQUENAS LESÕES / FERIMENTOS DE PELE / ANEXOS E MUCOSA,20.0
43,Ana Brown,FASCIOTOMIA DE MEMBROS SUPERIORES,33.0
44,Ana Brown,INCISAO E DRENAGEM DE ABSCESSO,5.0
45,Ana Brown,LAPAROTOMIA VIDEOLAPAROSCOPICA PARA DRENAGEM E/OU BIOPSIA,20.0
46,Ana Brown,RECONSTRUCAO DE TENDAO PATELAR / TENDAO QUADRICIPITAL,22.0
47,Ana Brown,RECONSTRUCAO LIGAMENTAR EXTRA-ARTICULAR DO JOELHO,40.0
48,Ana Brown,RECONSTRUCAO LIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO ANTERIOR),33.21296296296296
49,Ana Brown,RECONSTRUCAO LIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO POSTERIOR C/ OU S/ ANTERIOR),60.0
50,Ana Brown,REDUCAO INCRUENTA DE FRATURA DIAFISARIA / LESAO FISARIA DISTAL DA TIBIA C/ OU S/ FRATURA DA FIBULA,15.0
51,Ana Brown,REDUCAO INCRUENTA DE LUXACAO / FRATURA-LUXACAO DO JOELHO,40.0
52,Ana Brown,REDUÇAO INCRUENTA DE FRATURA / LESÃO FISARIA DO EXTREMO PROXIMAL DO ÚMERO,27.0
53,Ana Brown,REDUÇÃO INCRUENTA C/ MANIPULAÇÃO DE LUXAÇÃO ESPONTANEA / PROGRESSIVA DO QUADRIL COM APLICAÇÃO DE DISPOSITIVOS DE CONTENÇÃO,26.5
54,Ana Brown,REDUÇÃO INCRUENTA DE LUXAÇÃO COXOFEMORAL TRAUMÁTICA / PÓS-ARTROPLASTIA,38.0
55,Ana Brown,REDUÇÃO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXACAO NO PUNHO,31.5
56,Ana Brown,RETIRADA DE FIO OU PINO INTRA-ÓSSEO,35.0
57,Ana Brown,RETIRADA DE MATERIAL DE SÍNTESE ÓSSEA / DENTÁRIA,30.0
58,Ana Brown,RETIRADA DE PLACA E/OU PARAFUSOS,30.533333333333335
59,Ana Brown,TENOMIORRAFIA,11.433333333333332
60,Ana Brown,TRANSPOSICAO DA FIBULA PARA A TIBIA,20.0
61,Ana Brown,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS PODODACTILOS,28.0
62,Ana Brown,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE),25.333333333333332
63,Ana Brown,TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ACROMIO-CLAVICULAR,36.82222222222222
64,Ana Brown,TRATAMENTO CIRÚGICO DE FRATURA DA DIÁFISE DO ÚMERO,19.375
65,Ana Brown,TRATAMENTO CIRÚRGICO DE DEDO EM MARTELO / EM GARRA (MÃO E PÉ),40.0
66,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),33.641666666666666
67,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DO CÔNDILO / TRÓCLEA/APOFISE CORONÓIDE DO ULNA / CABEÇA DO RÁDIO,15.0
68,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DOS METACARPIANOS,13.416666666666666
69,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,32.76979166666666
70,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA DA CLAVÍCULA,28.48
71,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DA TÍBIA,35.25083333333333
72,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR,28.816666666666666
73,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA DA EXTREMIDADE / METÁFISE DISTAL DOS OSSOS DO ANTEBRAÇO,43.53125
74,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA DA PATELA POR FIXAÇÃO INTERNA,38.25
75,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA,38.59791666666667
76,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA DO PILÃO TIBIAL,31.0
77,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA DO PLANALTO TIBIAL,41.62916666666666
78,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA DO TORNOZELO UNIMALEOLAR,24.666666666666668
79,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISARIA DOS OSSOS DO ANTEBRAÇO,35.0
80,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA SUBTROCANTERIANA,29.0
81,Ana Brown,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,27.0
82,Ana Brown,TRATAMENTO CIRÚRGICO DE HALUX VALGUS C/ OSTEOTOMIA DO PRIMEIRO OSSO METATARSIANO,40.0
83,Ana Brown,TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR DO MEMBRO SUPERIOR: COTOVELO / PUNHO,25.0
84,Ana Brown,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXACAO DOS OSSOS DO CARPO,42.98333333333333
85,Ana Brown,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO CARPO-METACARPIANA,30.666666666666668
86,Ana Brown,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METACARPO-FALANGIANA,36.083333333333336
87,Ana Brown,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METATARSO-FALANGIANA / INTER-FALANGIANA,33.825
88,Ana Brown,TRATAMENTO CIRÚRGICO DE LUXAÇÃO OU FRATURA-LUXAÇÃO DO COTOVELO,50.0
89,Ana Brown,TRATAMENTO CIRÚRGICO P/ CENTRALIZAÇÃO DO PUNHO,9.1
90,Andrew Rose,CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO,60.98333333333333
91,Andrew Rose,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,27.5962962962963
92,Andrew Rose,DRENAGEM DE ABSCESSO,49.766666666666666
93,Andrew Rose,EXCISAO DE LESAO E/OU SUTURA DE FERIMENTO DA PELE ANEXOS E MUCOSA,35.0
94,Andrew Rose,OUTROS PROCEDIMENTOS COM CIRURGIAS SEQUENCIAIS,35.0
95,Andrew Rose,RECONSTRUCAO LIGAMENTAR EXTRA-ARTICULAR DO JOELHO,25.0
96,Andrew Rose,RECONSTRUCAO LIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO ANTERIOR),55.0
97,Andrew Rose,REDUCAO INCRUENTA DE FRATURA / LUXACAO / FRATURA-LUXACAO DO TORNOZELO,45.0
98,Andrew Rose,TENOMIORRAFIA,26.008333333333336
99,Andrew Rose,TENOPLASTIA OU ENXERTO DE TENDÃO UNICO,29.566666666666663
100,Andrew Rose,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE),25.0
101,Andrew Rose,TRATAMENTO CIRÚRGICO DE DEDO EM MARTELO / EM GARRA (MÃO E PÉ),20.0
102,Andrew Rose,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),28.0
103,Andrew Rose,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DOS METACARPIANOS,26.666666666666668
104,Andrew Rose,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,33.09761904761905
105,Andrew Rose,TRATAMENTO CIRÚRGICO DE FRATURA DA CLAVÍCULA,35.86666666666667
106,Andrew Rose,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DA TÍBIA,26.942857142857143
107,Andrew Rose,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR,22.5
108,Andrew Rose,TRATAMENTO CIRÚRGICO DE FRATURA DA EXTREMIDADE / METÁFISE DISTAL DOS OSSOS DO ANTEBRAÇO,33.333333333333336
109,Andrew Rose,TRATAMENTO CIRÚRGICO DE FRATURA DE EXTREMIDADES / METÁFISE PROXIMAL DOS OSSOS DO ANTEBRAÇO,10.0
110,Andrew Rose,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA DE AMBOS OS OSSOS DO ANTEBRAÇO (C/ SINTESE),29.0
111,Andrew Rose,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA,37.39583333333333
112,Andrew Rose,TRATAMENTO CIRÚRGICO DE FRATURA DO CALCÂNEO,35.0
113,Andrew Rose,TRATAMENTO CIRÚRGICO DE FRATURA DO PLANALTO TIBIAL,17.666666666666668
114,Andrew Rose,TRATAMENTO CIRÚRGICO DE FRATURA DO TORNOZELO UNIMALEOLAR,45.74166666666666
115,Andrew Rose,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISARIA DOS OSSOS DO ANTEBRAÇO,37.46666666666667
116,Andrew Rose,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISÁRIA DISTAL DE TÍBIA,35.0
117,Andrew Rose,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,28.879166666666666
118,Andrew Rose,TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR DO MEMBRO SUPERIOR: COTOVELO / PUNHO,50.78333333333333
119,Andrew Rose,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXACAO DOS OSSOS DO CARPO,15.0
120,Andrew Rose,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO CARPO-METACARPIANA,23.0
121,Andrew Rose,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METACARPO-FALANGIANA,35.0
122,Andrew Rose,TRATAMENTO CIRÚRGICO DE LUXAÇÃO OU FRATURA-LUXAÇÃO DO COTOVELO,21.5
123,Andrew Rose,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE NA REGIÃO METAFISE-EPIFISÁRIA DISTAL DO RÁDIO E ULNA,25.0
124,Andrew Rose,TRATAMENTO CIRÚRGICO P/ CENTRALIZAÇÃO DO PUNHO,37.5
125,Andrew Trujillo,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),45.0
126,Andrew Trujillo,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR,3.3666666666666667
127,Andrew Trujillo,TRATAMENTO CIRÚRGICO DE FRATURA DO PLANALTO TIBIAL,35.0
128,Andrew Trujillo,TRATAMENTO CIRÚRGICO DE FRATURA DO TORNOZELO UNIMALEOLAR,37.233333333333334
129,Annette Livingston,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,30.0
130,Annette Livingston,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DA TÍBIA,20.416666666666668
131,Barbara Martin,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,32.0
132,Bonnie Frey,DEBRIDAMENTO DE ULCERA / NECROSE,30.0
133,Cassandra Brown,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,39.37083333333334
134,Cassandra Brown,REDUCAO INCRUENTA DA LUXACAO / FRATURA-LUXACAO METATARSO-FALANGIANA / INTERFALANGIANA DO PE,40.0
135,Cassandra Brown,REDUCAO INCRUENTA DE FRATURA / LESAO FISARIA DOS METATARSIANOS,40.0
136,Cassandra Brown,REDUÇÃO INCRUENTA DE LUXAÇÃO COXOFEMORAL TRAUMÁTICA / PÓS-ARTROPLASTIA,25.0
137,Cassandra Brown,RETIRADA DE CORPO ESTRANHO SUBCUTANEO,36.53333333333333
138,Cassandra Brown,RETIRADA DE PLACA E/OU PARAFUSOS,50.36666666666666
139,Cassandra Brown,TENOMIORRAFIA,55.0
140,Cassandra Brown,TENOPLASTIA OU ENXERTO DE TENDÃO UNICO,0.0
141,Cassandra Brown,TRATAMENTO CIRURGICO DAS DESINSERCOES DAS ESPINHAS INTERCONDILARES / EPICONDILARES,45.0
142,Cassandra Brown,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DE OSSOS DO MEDIO-PE,23.0
143,Cassandra Brown,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS METATARSIANOS,37.88333333333333
144,Cassandra Brown,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE),55.0
145,Cassandra Brown,TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ACROMIO-CLAVICULAR,15.0
146,Cassandra Brown,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),25.175
147,Cassandra Brown,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,34.575
148,Cassandra Brown,TRATAMENTO CIRÚRGICO DE FRATURA DA CLAVÍCULA,15.383333333333333
149,Cassandra Brown,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DA TÍBIA,31.05
150,Cassandra Brown,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR,34.166666666666664
151,Cassandra Brown,TRATAMENTO CIRÚRGICO DE FRATURA DA PATELA POR FIXAÇÃO INTERNA,10.0
152,Cassandra Brown,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA,31.994444444444444
153,Cassandra Brown,TRATAMENTO CIRÚRGICO DE FRATURA DO PILÃO TIBIAL,45.0
154,Cassandra Brown,TRATAMENTO CIRÚRGICO DE FRATURA DO PLANALTO TIBIAL,42.70833333333333
155,Cassandra Brown,TRATAMENTO CIRÚRGICO DE FRATURA DO TORNOZELO UNIMALEOLAR,36.33888888888889
156,Cassandra Brown,TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR DO MEMBRO SUPERIOR: COTOVELO / PUNHO,36.483333333333334
157,Cassandra Brown,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO CARPO-METACARPIANA,35.0
158,Cassandra Brown,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METACARPO-FALANGIANA,28.127777777777776
159,Cassandra Brown,TRATAMENTO CIRÚRGICO DE LUXAÇÃO OU FRATURA-LUXAÇÃO DO COTOVELO,50.0
160,Cassandra Brown,TRATAMENTO CIRÚRGICO DE ROTURA DE MENISCO COM SUTURA MENISCAL UNI / BICOMPATIMENTAL,35.0
161,Cassandra Brown,TRATAMENTO CIRÚRGICO DE SINOSTOSE RÁDIO ULNAR,40.0
162,Christopher Miller,ARTROPLASTIA TOTAL PRIMARIA DO JOELHO,10.0
163,Christopher Miller,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,75.0
164,Christopher Miller,TRATAMENTO CIRÚRGICO DE DEDO EM MARTELO / EM GARRA (MÃO E PÉ),25.0
165,Christopher Miller,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,24.916666666666664
166,Christopher Miller,TRATAMENTO CIRÚRGICO DE FRATURA DA EXTREMIDADE / METÁFISE DISTAL DOS OSSOS DO ANTEBRAÇO,15.0
167,Christopher Miller,TRATAMENTO CIRÚRGICO DE FRATURA DO CALCÂNEO,25.0
168,Douglas Crawford,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO,54.96666666666667
169,Douglas Crawford,TORACOSTOMIA COM DRENAGEM PLEURAL FECHADA,44.0
170,Douglas Crawford,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,25.08333333333333
171,Douglas Crawford,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA,34.0
172,Douglas Crawford,TRATAMENTO CIRÚRGICO DE FRATURA DO PLANALTO TIBIAL,20.0
173,Elizabeth Miller,RETIRADA DE FIO OU PINO INTRA-ÓSSEO,10.0
174,Elizabeth Miller,TRATAMENTO CIRÚRGICO DE FRATURA DA EXTREMIDADE / METÁFISE DISTAL DOS OSSOS DO ANTEBRAÇO,35.0
175,Elizabeth Miller,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA DE AMBOS OS OSSOS DO ANTEBRAÇO (C/ SINTESE),31.55
176,Jerry Henry,RECONSTRUCAO LIGAMENTAR EXTRA-ARTICULAR DO JOELHO,30.0
177,Jerry Henry,TENOMIORRAFIA,45.5
178,Jerry Henry,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS METATARSIANOS,2.0
179,Jerry Henry,TRATAMENTO CIRÚRGICO DE DEDO EM MARTELO / EM GARRA (MÃO E PÉ),15.0
180,Jerry Henry,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,30.0
181,Jerry Henry,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,50.0
182,Jerry Henry,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO AO NÍVEL DO JOELHO,60.0
183,Jessica Medina,APENDICECTOMIA VIDEOLAPAROSCOPICA,44.48333333333333
184,Jessica Medina,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,40.0
185,Jessica Medina,REDUCAO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXAÇÃO ESCÁPULO-UMERAL,30.0
186,Jessica Medina,RETIRADA DE FIO OU PINO INTRA-ÓSSEO,20.0
187,Jessica Medina,TENOMIORRAFIA,25.0
188,Jessica Medina,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS PODODACTILOS,25.0
189,Jessica Medina,TRATAMENTO CIRÚGICO DE FRATURA DA DIÁFISE DO ÚMERO,50.0
190,Jessica Medina,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),32.25
191,Jessica Medina,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,40.0
192,Jessica Medina,TRATAMENTO CIRÚRGICO DE FRATURA DA CLAVÍCULA,16.6
193,Jessica Medina,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA DE AMBOS OS OSSOS DO ANTEBRAÇO (C/ SINTESE),32.0
194,Jessica Medina,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA,20.0
195,Jessica Medina,TRATAMENTO CIRÚRGICO DE FRATURA DO ACETÁBULO,25.0
196,Jessica Medina,TRATAMENTO CIRÚRGICO DE FRATURA DO PLANALTO TIBIAL,7.616666666666666
197,Jessica Medina,TRATAMENTO CIRÚRGICO DE FRATURA SUBTROCANTERIANA,28.0
198,Jessica Medina,TRATAMENTO CIRÚRGICO DE LUXAÇÃO OU FRATURA-LUXAÇÃO DO COTOVELO,30.0
199,Jessica Medina,TRATAMENTO CIRÚRGICO DE ROTURA DO MENISCO COM MENISCECTOMIA PARCIAL / TOTAL,45.0
200,Jordan Gaines,AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES,39.6
201,Jordan Gaines,AMPUTAÇÃO / DESARTICULAÇÃO DE MÃO E PUNHO,5.0
202,Jordan Gaines,ARTROPLASTIA TOTAL PRIMARIA DO JOELHO,40.714285714285715
203,Jordan Gaines,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,45.643478260869564
204,Jordan Gaines,DEBRIDAMENTO DE ULCERA / NECROSE,25.0
205,Jordan Gaines,EXPLORAÇÃO ARTICULAR C/ OU S/ SINOVECTOMIA DE MÉDIAS / GRANDES ARTICULAÇÕES,20.0
206,Jordan Gaines,FASCIOTOMIA DE MEMBROS INFERIORES,40.0
207,Jordan Gaines,MANIPULAÇÃO ARTICULAR,40.0
208,Jordan Gaines,RECONSTRUCAO DE TENDAO PATELAR / TENDAO QUADRICIPITAL,32.75
209,Jordan Gaines,RECONSTRUCAO LIGAMENTAR EXTRA-ARTICULAR DO JOELHO,28.333333333333332
210,Jordan Gaines,RECONSTRUCAO LIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO ANTERIOR),24.737777777777776
211,Jordan Gaines,REDUCAO INCRUENTA DE FRATURA DIAFISARIA / LESAO FISARIA DISTAL DA TIBIA C/ OU S/ FRATURA DA FIBULA,45.06666666666666
212,Jordan Gaines,REDUCAO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXAÇÃO ESCÁPULO-UMERAL,35.083333333333336
213,Jordan Gaines,REDUÇÃO INCRUENTA DE FRATURA / LESÃO FISARIA DE COTOVELO,40.0
214,Jordan Gaines,REDUÇÃO INCRUENTA DE FRATURA DIAFISARIA DOS OSSOS DO ANTEBRAÇO,37.5
215,Jordan Gaines,REDUÇÃO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXACAO NO PUNHO,20.0
216,Jordan Gaines,RETIRADA DE FIO OU PINO INTRA-ÓSSEO,40.0
217,Jordan Gaines,RETIRADA DE FIXADOR EXTERNO,20.0
218,Jordan Gaines,RETIRADA DE PLACA E/OU PARAFUSOS,29.376190476190477
219,Jordan Gaines,TENOMIORRAFIA,32.239999999999995
220,Jordan Gaines,TENOPLASTIA OU ENXERTO DE TENDÃO UNICO,25.0
221,Jordan Gaines,TENORRAFIA ÚNICA EM TÚNEL OSTEO-FIBROSO,36.55
222,Jordan Gaines,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS METATARSIANOS,26.0
223,Jordan Gaines,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS PODODACTILOS,28.23333333333333
224,Jordan Gaines,TRATAMENTO CIRÚRGICO DE ARTRITE INFECCIOSA (GRANDES E MÉDIAS ARTICULAÇÕES),35.0
