,CIRURGIAO,PROCEDIMENTO,DURACAO_CIRURGIA
123,Sharon Wallace,ARTRODESE DE MÉDIAS / GRANDES ARTICULAÇÕES DE MEMBRO SUPERIOR,23.0
124,Sharon Wallace,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,100.87
125,Sharon Wallace,EXTIRPACAO E SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO,99.44166666666666
126,Sharon Wallace,MANIPULAÇÃO ARTICULAR,47.5
127,Sharon Wallace,MICRONEUROLISE DE NERVO PERIFERICO,18.558333333333334
128,Sharon Wallace,MICRONEURORRAFIA,55.38333333333333
129,Sharon Wallace,NEURORRAFIA,45.0
130,Sharon Wallace,RECONSTRUÇÃO DE POLIA TENDINOSA DOS DEDOS DA MÃO,93.05
131,Sharon Wallace,REDUÇÃO INCRUENTA DE FRATURA / LESÃO FISARIA NO PUNHO,20.0
132,Sharon Wallace,REDUÇÃO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXACAO NO PUNHO,103.19444444444444
133,Sharon Wallace,RESSECÇÃO DE CISTO SINOVIAL,75.0
134,Sharon Wallace,RETIRADA DE FIO OU PINO INTRA-ÓSSEO,67.24772727272727
135,Sharon Wallace,RETIRADA DE PLACA E/OU PARAFUSOS,81.06096096096095
136,Sharon Wallace,REVISÃO CIRÚRGICA DE COTO DE AMPUTAÇÃO DOS DEDOS,56.46666666666667
137,Sharon Wallace,TENODESE,80.0
138,Sharon Wallace,TENOMIORRAFIA,70.1328431372549
139,Sharon Wallace,TENOMIOTOMIA / DESINSERÇÃO,123.0
140,Sharon Wallace,TENOPLASTIA OU ENXERTO DE TENDÃO UNICO,84.78958333333333
141,Sharon Wallace,TENORRAFIA ÚNICA EM TÚNEL OSTEO-FIBROSO,57.84791666666667
142,Sharon Wallace,TENÓLISE,44.21666666666667
143,Sharon Wallace,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE),67.0
144,Sharon Wallace,TRATAMENTO CIRURGICO DE SINDROME COMPRESSIVA EM TUNEL OSTEO-FIBROSO AO NIVEL DO CARPO,87.125
145,Sharon Wallace,TRATAMENTO CIRURGICO P/ REPARACOES DE PERDA DE SUBSTANCIA DA MAO,247.0
146,Sharon Wallace,TRATAMENTO CIRÚRGICO DE DEDO EM MARTELO / EM GARRA (MÃO E PÉ),103.2
147,Sharon Wallace,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DA EXTREMIDADE PROXIMAL DO UMERO,64.0
148,Sharon Wallace,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),98.12083333333334
149,Sharon Wallace,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DO CÔNDILO / TRÓCLEA/APOFISE CORONÓIDE DO ULNA / CABEÇA DO RÁDIO,54.36666666666667
150,Sharon Wallace,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DOS METACARPIANOS,49.161111111111104
151,Sharon Wallace,TRATAMENTO CIRÚRGICO DE FRATURA DA CLAVÍCULA,70.0
152,Sharon Wallace,TRATAMENTO CIRÚRGICO DE FRATURA DA EXTREMIDADE / METÁFISE DISTAL DOS OSSOS DO ANTEBRAÇO,72.70903225806451
153,Sharon Wallace,TRATAMENTO CIRÚRGICO DE FRATURA DE EXTREMIDADES / METÁFISE PROXIMAL DOS OSSOS DO ANTEBRAÇO,20.0
154,Sharon Wallace,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA,75.83055555555556
155,Sharon Wallace,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISARIA DOS OSSOS DO ANTEBRAÇO,84.8952380952381
156,Sharon Wallace,TRATAMENTO CIRÚRGICO DE FRATURAS DOS OSSOS DO CARPO,53.81388888888889
157,Sharon Wallace,TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR DO MEMBRO SUPERIOR: COTOVELO / PUNHO,68.44444444444444
158,Sharon Wallace,TRATAMENTO CIRÚRGICO DE LESÃO DA MUSCULATURA INTRÍNSECA DA MÃO,65.0
159,Sharon Wallace,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXACAO DOS OSSOS DO CARPO,82.5
160,Sharon Wallace,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO CARPO-METACARPIANA,65.01666666666667
161,Sharon Wallace,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE NA REGIÃO METAFISE-EPIFISÁRIA DISTAL DO RÁDIO E ULNA,115.5
162,Sharon Wallace,TRATAMENTO CIRÚRGICO DE ROTURA / DESINSERÇÃO / ARRANCAMENTO CAPSULO-TENO-LIGAMENTAR NA MÃO,67.0
163,Sharon Wallace,TRATAMENTO CIRÚRGICO P/ CENTRALIZAÇÃO DO PUNHO,65.0
