,CIRURGIAO,PROCEDIMENTO,DURACAO_CIRURGIA
90,Kevin Johnson,TRATAMENTO CIRÚRGICO DE FRATURA-LUXAÇÃO DA ARTICULAÇÃO COXOFEMORAL (DUPLO ACESSO),40.35
91,Kevin Johnson,TRATAMENTO CIRÚRGICO DE HALUX VALGUS C/ OSTEOTOMIA DO PRIMEIRO OSSO METATARSIANO,80.34166666666667
92,Kevin Johnson,TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR DO MEMBRO SUPERIOR: COTOVELO / PUNHO,40.5
93,Kevin Johnson,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXACAO DOS OSSOS DO CARPO,120.63333333333334
94,Kevin Johnson,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO CARPO-METACARPIANA,85.0
95,Kevin Johnson,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METACARPO-FALANGIANA,62.31666666666666
96,Kevin Johnson,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METATARSO INTER-FALANGEANA,45.0
97,Kevin Johnson,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METATARSO-FALANGIANA / INTER-FALANGIANA,115.0
98,Kevin Johnson,TRATAMENTO CIRÚRGICO DE LUXAÇÃO OU FRATURA-LUXAÇÃO DO COTOVELO,41.28333333333333
99,Kevin Johnson,TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DA DIÁFISE TIBIAL,77.0
100,Kevin Johnson,TRATAMENTO CIRÚRGICO DE PÉ PLANO VALGO,20.0
101,Kevin Johnson,TRATAMENTO CONSERVADOR DE FRATURA DE OSSO METACÁRPICO,38.0
102,Kevin Johnson,URETEROLITOTOMIA,35.0
103,Marvin Atkins,AMPUTACAO / DESARTICULACAO DE MEMBROS INFERIORES,20.0
104,Marvin Atkins,AMPUTACAO / DESARTICULACAO DE PE E TARSO,46.3
105,Marvin Atkins,AMPUTAÇÃO / DESARTICULAÇÃO DE DEDO,45.0
106,Marvin Atkins,ARTRODESE DE MEDIAS / GRANDES ARTICULACOES DE MEMBRO INFERIOR,100.34166666666667
107,Marvin Atkins,ARTRODESE DE PEQUENAS ARTICULAÇÕES,43.0
108,Marvin Atkins,DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS,55.66818181818182
109,Marvin Atkins,DRENAGEM DE ABSCESSO,130.0
110,Marvin Atkins,REDUCAO INCRUENTA DE FRATURA DIAFISARIA / LESAO FISARIA DISTAL DA TIBIA C/ OU S/ FRATURA DA FIBULA,89.6111111111111
111,Marvin Atkins,REDUCAO INCRUENTA DE LUXACAO / FRATURA-LUXACAO DO JOELHO,62.15
112,Marvin Atkins,REDUÇÃO INCRUENTA DE LUXAÇÃO OU FRATURA / LUXACAO NO PUNHO,56.21666666666667
113,Marvin Atkins,RESSECÇÃO DE CISTO SINOVIAL,1416.85
114,Marvin Atkins,RETIRADA DE FIO OU PINO INTRA-ÓSSEO,45.99166666666667
115,Marvin Atkins,REVISAO CIRURGICA DE COTO DE AMPUTACAO EM MEMBRO INFERIOR (EXCETO DEDOS DO PE),5.083333333333333
116,Marvin Atkins,TENOMIORRAFIA,72.95
117,Marvin Atkins,TENOPLASTIA OU ENXERTO DE TENDÃO UNICO,55.76666666666667
118,Marvin Atkins,TENORRAFIA ÚNICA EM TÚNEL OSTEO-FIBROSO,128.91666666666666
119,Marvin Atkins,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DE OSSOS DO MEDIO-PE,33.0
120,Marvin Atkins,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA DOS METATARSIANOS,69.73333333333335
121,Marvin Atkins,TRATAMENTO CIRURGICO DE FRATURA / LESAO FISARIA PROXIMAL (COLO) DO FEMUR (SINTESE),20.0
122,Marvin Atkins,TRATAMENTO CIRURGICO DE LUXACAO COXO-FEMORAL TRAUMATICA / POS-ARTROPLASTIA,60.18333333333333
123,Marvin Atkins,TRATAMENTO CIRURGICO DE LUXACAO ESPONTANEA / PROGRESSIVA / PARALITICA DO QUADRIL,64.4
124,Marvin Atkins,TRATAMENTO CIRURGICO DE RETARDO DE CONSOLIDACAO DA PSEUDARTROSE DE CLAVICULA / ESCAPULA,35.0
125,Marvin Atkins,TRATAMENTO CIRÚGICO DE FRATURA DA DIÁFISE DO ÚMERO,88.0
126,Marvin Atkins,TRATAMENTO CIRÚRGICO DE DEDO EM MARTELO / EM GARRA (MÃO E PÉ),74.72916666666666
127,Marvin Atkins,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DAS FALANGES DA MÃO (COM FIXAÇÃO),60.67564102564102
128,Marvin Atkins,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA DOS METACARPIANOS,40.0
129,Marvin Atkins,TRATAMENTO CIRÚRGICO DE FRATURA / LESÃO FISARIA SUPRACONDILIANA DO ÚMERO,75.08333333333333
130,Marvin Atkins,TRATAMENTO CIRÚRGICO DE FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO ANTERO-POSTERIOR,40.0
131,Marvin Atkins,TRATAMENTO CIRÚRGICO DE FRATURA BIMALEOLAR / TRIMALEOLAR / DA FRATURA-LUXAÇÃO DO TORNOZELO,49.46811594202899
132,Marvin Atkins,TRATAMENTO CIRÚRGICO DE FRATURA DA CLAVÍCULA,63.333333333333336
133,Marvin Atkins,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DA TÍBIA,188.33939393939391
134,Marvin Atkins,TRATAMENTO CIRÚRGICO DE FRATURA DA DIÁFISE DO FÊMUR,52.45833333333333
135,Marvin Atkins,TRATAMENTO CIRÚRGICO DE FRATURA DA EXTREMIDADE / METÁFISE DISTAL DOS OSSOS DO ANTEBRAÇO,49.07692307692308
136,Marvin Atkins,TRATAMENTO CIRÚRGICO DE FRATURA DE EXTREMIDADES / METÁFISE PROXIMAL DOS OSSOS DO ANTEBRAÇO,94.88333333333334
137,Marvin Atkins,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA DE AMBOS OS OSSOS DO ANTEBRAÇO (C/ SINTESE),49.205555555555556
138,Marvin Atkins,TRATAMENTO CIRÚRGICO DE FRATURA DIAFISARIA ÚNICA DO RÁDIO / DA ULNA,87.0
139,Marvin Atkins,TRATAMENTO CIRÚRGICO DE FRATURA DO CALCÂNEO,56.96
140,Marvin Atkins,TRATAMENTO CIRÚRGICO DE FRATURA DO PILÃO TIBIAL,44.195238095238096
141,Marvin Atkins,TRATAMENTO CIRÚRGICO DE FRATURA DO PLANALTO TIBIAL,55.0
142,Marvin Atkins,TRATAMENTO CIRÚRGICO DE FRATURA DO TALUS,22.0
143,Marvin Atkins,TRATAMENTO CIRÚRGICO DE FRATURA DO TORNOZELO UNIMALEOLAR,64.26666666666667
144,Marvin Atkins,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISARIA DOS OSSOS DO ANTEBRAÇO,76.4
145,Marvin Atkins,TRATAMENTO CIRÚRGICO DE FRATURA LESÃO FISÁRIA DISTAL DE TÍBIA,31.683333333333334
146,Marvin Atkins,TRATAMENTO CIRÚRGICO DE FRATURA TRANSTROCANTERIANA,86.08666666666667
147,Marvin Atkins,TRATAMENTO CIRÚRGICO DE FRATURA-LUXAÇÃO DA ARTICULAÇÃO COXOFEMORAL (DUPLO ACESSO),4.166666666666667
148,Marvin Atkins,TRATAMENTO CIRÚRGICO DE HALUX VALGUS C/ OSTEOTOMIA DO PRIMEIRO OSSO METATARSIANO,48.46944444444444
149,Marvin Atkins,TRATAMENTO CIRÚRGICO DE LESÃO AGUDA CAPSULO-LIGAMENTAR DO MEMBRO SUPERIOR: COTOVELO / PUNHO,49.333333333333336
150,Marvin Atkins,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO AO NÍVEL DO JOELHO,29.33333333333333
151,Marvin Atkins,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO CARPO-METACARPIANA,21.333333333333332
152,Marvin Atkins,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METACARPO-FALANGIANA,16.0
153,Marvin Atkins,TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO METATARSO INTER-FALANGEANA,75.0
154,Marvin Atkins,TRATAMENTO CIRÚRGICO DE LUXAÇÃO OU FRATURA-LUXAÇÃO DO COTOVELO,75.32777777777778
155,Marvin Atkins,TRATAMENTO CIRÚRGICO DE SINOSTOSE RÁDIO ULNAR,123.0
156,Marvin Atkins,TRATAMENTO MICROCIRURGICO DE TUMOR DE NERVO PERIFERICO / NEUROMA,67.0
